Street,Raw_Title,Number_of_Rooms,Price,Size_m2,District,URL,Latitude,Longitude,Dist_to_Metro_km,Nearest_Metro,District_Clean
Domaniewska,"Mieszkanie umeblowane, ul. Domaniewska",2.0,3200.0,41.48,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26053343.html",52.183472,21.0129242,0.76,M1 - Wierzbno,Mokotów
Bryły,"Mieszkanie umeblowane, ul. Bryły",3.0,3500.0,52.68,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26428823.html",52.1807074,21.0118228,0.78,M1 - Wilanowska,Mokotów
Jagiellońska,"Apartament z ogródkiem, ul. Jagiellońska",3.0,4900.0,65.0,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26578821.html",52.2652172,21.0210264,1.52,M2 - Dworzec Wileński,Praga-Północ
Bednarska,"Apartament 3-pokojowy, ul. Bednarska",3.0,7000.0,74.0,Powiśle,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/23037530.html",52.2449965,21.0165577,0.95,M2 - Nowy Świat-Uniwersytet,Śródmieście
Cybernetyki,"Apartament z garażem, ul. Cybernetyki",3.0,6700.0,73.05,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26567662.html",52.1772752,20.9903564,2.28,M1 - Wilanowska,Mokotów
Czarnomorska,"Mieszkanie umeblowane, ul. Czarnomorska",3.0,3999.0,65.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/26661707.html",52.1823632,21.0458772,1.56,M1 - Wilanowska,Mokotów
Sienna,"Apartament 3-pokojowy, ul. Sienna",3.0,5200.0,55.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/24031462.html",52.2321587,21.002601,0.23,M2 - Rondo ONZ,Śródmieście
Grzybowska,"Apartament z garażem, ul. Grzybowska",2.0,9900.0,54.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/25285508.html",52.2355815,20.9954807,0.4,M2 - Rondo ONZ,Wola
Apollina,"Mikrokawalerka umeblowana, ul. Apollina",1.0,1500.0,20.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26668431.html",52.2516057,20.9114864,1.47,M2 - Bemowo,Bemowo
Platynowa,"Mieszkanie umeblowane, ul. Platynowa",2.0,3700.0,38.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26561807.html",52.2265245,20.9897826,0.52,M2 - Rondo Daszyńskiego,Wola
Bolesława Chrobrego,"Mieszkanie umeblowane, ul. Bolesława Chrobrego",2.0,3450.0,36.0,Stare Włochy,"https://warszawa.nieruchomosci-online.pl/mieszkanie,nad-jeziorem/26596129.html",52.2011035,20.9146576,4.15,M2 - Bemowo,Włochy
Apartament z miejscem parkingowym Warszawa,Apartament z miejscem parkingowym Warszawa,4.0,3600.0,68.17,Ursus,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26646804.html",,,,,Ursus
Noakowskiego,"Mieszkanie 2-pokojowe, ul. Noakowskiego",2.0,3000.0,40.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26661598.html",52.2226282,21.0083762,0.61,M1 - Politechnika,Śródmieście
Starodęby,"Apartament z garażem, ul. Starodęby",2.0,3200.0,52.0,Ursus,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,nad-jeziorem/26629081.html",52.1841021,20.8976206,6.13,M2 - Bemowo,Ursus
Miła,"Kawalerka umeblowana, ul. Miła",1.0,2200.0,27.0,Muranów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26614218.html",52.2500537,20.9888531,0.95,M1 - Dworzec Gdański,Śródmieście
Kartograficzna,"Mieszkanie umeblowane, ul. Kartograficzna",2.0,2900.0,42.0,Białołęka,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26643576.html",52.3118914,21.0680257,3.27,M2 - Kondratowicza,Białołęka
Solec,"Apartament z miejscem parkingowym, ul. Solec",2.0,4950.0,53.0,Powiśle,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26665683.html",52.2310219,21.0374508,1.13,M2 - Centrum Nauki Kopernik,Śródmieście
Mikrokawalerka umeblowana,Mikrokawalerka umeblowana,1.0,1980.0,23.1,Śródmieście Północne,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26667345.html",,,,,Śródmieście
Górskiego,"Apartament z garażem, ul. Górskiego",2.0,6000.0,54.0,Centrum,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26596418.html",52.2399367,21.0452877,0.86,M2 - Stadion Narodowy,Śródmieście
Żaryna,"Apartament z garażem, ul. Żaryna",3.0,7200.0,72.85,Wyględów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26543296.html",52.2043562,20.9965014,0.91,M1 - Pole Mokotowskie,Mokotów
Wańkowicza,"Apartament 2-pokojowy, ul. Wańkowicza",2.0,3100.0,49.1,Kabaty,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26503826.html",52.1334986,21.065962,0.28,M1 - Kabaty,Ursynów
Giełdowa,"Apartament z garażem, ul. Giełdowa",2.0,4100.0,56.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26660360.html",52.2306341,20.9755988,0.59,M2 - Rondo Daszyńskiego,Wola
Mikrokawalerka umeblowana Warszawa,Mikrokawalerka umeblowana Warszawa,1.0,2000.0,18.1,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26358767.html",,,,,Śródmieście
Mieszkanie umeblowane Warszawa,Mieszkanie umeblowane Warszawa,2.0,2600.0,48.0,Wrzeciono,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/26520812.html",,,,,Bielany
Aleje Ujazdowskie,"Mieszkanie, Aleje Ujazdowskie",1.0,2800.0,31.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26561513.html",52.2147229,21.026418,0.91,M1 - Politechnika,Śródmieście
Rosoła,"Mieszkanie umeblowane, ul. Rosoła",4.0,8500.0,112.5,Kabaty,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m4,z-kuchnia-w-zabudowie/26655821.html",52.1410723,21.0672623,0.8,M1 - Natolin,Ursynów
Anielewicza,"Mieszkanie umeblowane, ul. Anielewicza",2.0,2700.0,26.4,Nowolipki,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26659851.html",52.2515103,20.9923466,0.7,M1 - Dworzec Gdański,Nowolipki
Świerszcza,"Mikrokawalerka, ul. Świerszcza",1.0,2000.0,18.0,Włochy,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26612955.html",52.2035606,20.8953743,4.05,M2 - Bemowo,Włochy
Wiktorska,"Mieszkanie umeblowane, ul. Wiktorska",2.0,2900.0,38.73,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26662416.html",52.199701,21.0151465,0.22,M1 - Racławicka,Mokotów
Marymoncka,"Mikrokawalerka umeblowana, ul. Marymoncka",1.0,2400.0,24.0,Bielany,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26662441.html",52.294549,20.9454989,1.08,M1 - Wawrzyszew,Bielany
Kłopot,"Apartament z garażem, ul. Kłopot",3.0,4900.0,53.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26644296.html",52.257884,20.9937687,0.15,M1 - Dworzec Gdański,Wola
Pustelnicka,"Mieszkanie umeblowane, ul. Pustelnicka",2.0,2900.0,34.0,Praga-Południe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26361344.html",52.2404383,21.1053809,4.28,M2 - Stadion Narodowy,Praga-Południe
Księżycowa,"Mieszkanie umeblowane, ul. Księżycowa",2.0,3000.0,34.54,Bielany,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/25798200.html",52.2793567,20.8987648,2.44,M1 - Młociny,Bielany
Aleja Solidarności,"Mieszkanie umeblowane, Aleja Solidarności",2.0,3300.0,47.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/25266383.html",52.2553062,21.0364386,0.17,M2 - Dworzec Wileński,Wola
Marywilska,"Apartament z ogródkiem, ul. Marywilska",2.0,2700.0,43.0,Białołęka,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,przy-lesie/26634785.html",52.3157752,20.999823,3.22,M2 - Bródno,Białołęka
Apartament z garażem Warszawa,Apartament z garażem Warszawa,2.0,4300.0,50.0,Żoliborz,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26470340.html",,,,,Żoliborz
Rajska,"Mieszkanie umeblowane, ul. Rajska",3.0,4000.0,70.0,Marina Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/26666936.html",52.1924754,20.9893823,1.72,M1 - Racławicka,Mokotów
Łowicka,"Apartament z garażem, ul. Łowicka",3.0,7500.0,90.0,Stary Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26613636.html",52.2014756,21.005467,0.58,M1 - Racławicka,Mokotów
Rozłogi,"Mieszkanie umeblowane, ul. Rozłogi",1.0,1900.0,40.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26636232.html",52.2235047,20.9006272,1.85,M2 - Bemowo,Bemowo
Mochnackiego,"Mieszkanie umeblowane, ul. Mochnackiego",4.0,8240.0,125.0,Ochota,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26371563.html",52.2182898,20.9870587,1.26,M2 - Rondo Daszyńskiego,Ochota
Jagiellońska,"Mikrokawalerka umeblowana, ul. Jagiellońska",1.0,2300.0,24.5,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,nad-rzeka/26485613.html",52.2652172,21.0210264,1.52,M2 - Dworzec Wileński,Praga-Północ
Archiwalna,"Mieszkanie umeblowane, ul. Archiwalna",2.0,3500.0,37.0,Ochota,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26598086.html",52.2082678,20.9776827,2.07,M1 - Pole Mokotowskie,Ochota
Grzybowska,"Apartament z garażem, ul. Grzybowska",3.0,25000.0,142.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard,nad-rzeka/26666422.html",52.2355815,20.9954807,0.4,M2 - Rondo ONZ,Śródmieście
Zaniemyska,"Mieszkanie umeblowane, ul. Zaniemyska",1.0,2500.0,36.0,Sadyba,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,z-kuchnia-z-oknem/26557080.html",52.1858595,21.0630817,2.79,M1 - Wilanowska,Mokotów
Apartament 2-pokojowy,Apartament 2-pokojowy,2.0,3400.0,45.0,Skorosze,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26536977.html",,,,,Skorosze
