Street,Raw_Title,Number_of_Rooms,Price,Size_m2,District,URL,Latitude,Longitude,Dist_to_Metro_km,Nearest_Metro,District_Clean
Złota,"Mieszkanie 2-pokojowe, ul. Złota",2.0,3600.0,60.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26667407.html",52.2303973,20.9998686,0.29,M2 - Rondo ONZ,Wola
Szanajcy,"Mieszkanie umeblowane, ul. Szanajcy",1.0,2500.0,32.13,Zawady,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,z-oddzielna-kuchnia/26667294.html",52.2621607,21.0273529,1.0,M2 - Dworzec Wileński,Wilanów
Iwanowa-Szajnowicza,"Mieszkanie umeblowane, ul. Iwanowa-Szajnowicza",2.0,3000.0,59.0,Ursynów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-w-zabudowie/26666976.html",52.1284246,21.0687385,0.32,M1 - Kabaty,Ursynów
Grochowska,"Mieszkanie umeblowane, ul. Grochowska",2.0,3100.0,42.0,Praga-Południe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-w-zabudowie/26666973.html",52.2363948,21.1220239,5.49,M2 - Stadion Narodowy,Praga-Południe
Jurajska,"Mieszkanie umeblowane, ul. Jurajska",2.0,2100.0,32.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-w-zabudowie/26666957.html",52.1624311,20.9947822,2.2,M1 - Ursynów,Mokotów
Mieszkanie umeblowane Warszawa,Mieszkanie umeblowane Warszawa,2.0,2400.0,60.0,Brzeziny,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26667192.html",,,,,Brzeziny
Okopowa,"Apartament z garażem, ul. Okopowa",2.0,5400.0,56.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26667416.html",52.2399775,20.9774655,0.99,M2 - Płocka,Wola
Sokratesa,"Apartament z ogródkiem, ul. Sokratesa",2.0,3500.0,50.86,Bielany,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26666991.html",52.2849595,20.9288499,0.64,M1 - Wawrzyszew,Bielany
Apartament dwupoziomowy,Apartament dwupoziomowy,4.0,13000.0,120.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26666980.html",,,,,Mokotów
Zaborowska,"Apartament z garażem, ul. Zaborowska",2.0,2500.0,46.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26666877.html",52.243825,20.9216821,0.69,M2 - Ulrychów,Bemowo
Umińskiego,"Mieszkanie, ul. Umińskiego",4.0,3900.0,82.0,Gocław,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m4,z-oddzielna-kuchnia/26666730.html",52.223465,21.1015245,4.77,M2 - Stadion Narodowy,Praga-Południe
Kompanii AK Goplana,"Apartament 2-pokojowy, ul. Kompanii AK Goplana",2.0,3300.0,45.0,Ursus,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26666822.html",52.2072371,20.8796901,4.13,M2 - Bemowo,Ursus
Apartament z garażem,Apartament z garażem,4.0,15500.0,170.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m4,z-kuchnia-z-oknem/26666648.html",,,,,Mokotów
Górczewska,"Mieszkanie umeblowane, ul. Górczewska",3.0,3700.0,62.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/26666825.html",52.239625,20.9391041,0.33,M2 - Księcia Janusza,Bemowo
Wrocławska,"Apartament z miejscem parkingowym, ul. Wrocławska",2.0,2700.0,50.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26666826.html",52.2491862,20.9213358,1.22,M2 - Ulrychów,Bemowo
Lazurowa,"Mieszkanie umeblowane, ul. Lazurowa",2.0,3800.0,50.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26666574.html",52.222438,20.8963416,2.09,M2 - Bemowo,Bemowo
Konstruktorska,"Mieszkanie umeblowane, ul. Konstruktorska",3.0,6250.0,60.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/26666454.html",52.1855348,20.9979811,1.44,M1 - Wierzbno,Mokotów
Leszczyńska,"Apartament z miejscem parkingowym, ul. Leszczyńska",2.0,7500.0,78.18,Powiśle,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,nad-rzeka/26666557.html",52.2402954,21.0245247,0.48,M2 - Centrum Nauki Kopernik,Śródmieście
Malborska,"Mieszkanie umeblowane, ul. Malborska",2.0,3000.0,30.0,Targówek,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26666282.html",52.2969613,21.0549206,1.44,M2 - Kondratowicza,Targówek
Winorośli,"Apartament z garażem, ul. Winorośli",2.0,2500.0,40.0,Winnica,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26666531.html",52.3402012,20.9525997,5.72,M1 - Młociny,Białołęka
Świetlików,"Mieszkanie umeblowane, ul. Świetlików",2.0,4500.0,90.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26666536.html",52.2272037,20.9109395,1.25,M2 - Bemowo,Bemowo
Wybrzeże Kościuszkowskie,"Apartament z miejscem parkingowym, ul. Wybrzeże Kościuszkowskie",3.0,12500.0,93.0,Powiśle,"https://warszawa.nieruchomosci-online.pl/mieszkanie,nad-rzeka/26666616.html",52.2358771,21.0373468,0.65,M2 - Centrum Nauki Kopernik,Śródmieście
Pisarka,"Mieszkanie 2-pokojowe, ul. Pisarka",2.0,2750.0,52.1,Praga-Południe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26666278.html",52.2282999,21.1076141,4.86,M2 - Stadion Narodowy,Praga-Południe
Apartament z miejscem parkingowym Warszawa,Apartament z miejscem parkingowym Warszawa,4.0,12500.0,77.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26666593.html",,,,,Wola
Śródziemnomorska,"Apartament z garażem, ul. Śródziemnomorska",4.0,6800.0,77.53,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26666168.html",52.1755646,21.0473857,1.57,M1 - Służew,Mokotów
Okęcka,"Mieszkanie umeblowane, ul. Okęcka",3.0,3500.0,46.0,Ksawerów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26666587.html",52.1877182,21.0168038,0.21,M1 - Wierzbno,Mokotów
Mieszkanie 2-pokojowe Warszawa,Mieszkanie 2-pokojowe Warszawa,2.0,3200.0,35.0,Powiśle,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26666214.html",,,,,Śródmieście
Bonifraterska,"Mikrokawalerka, ul. Bonifraterska",1.0,2500.0,17.0,Staromiejskie,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26666400.html",52.2540926,20.9995508,0.45,M1 - Dworzec Gdański,Staromiejskie
Posag 7 Panien,"Mieszkanie umeblowane, ul. Posag 7 Panien",3.0,5999.0,67.13,Ursus,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26666111.html",52.2040605,20.8795303,4.44,M2 - Bemowo,Ursus
Puławska,"Mieszkanie umeblowane, ul. Puławska",4.0,8000.0,85.3,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/26665945.html",52.2040729,21.0232843,0.96,M1 - Racławicka,Mokotów
Grzybowska,"Apartament z garażem, ul. Grzybowska",2.0,6200.0,57.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26665858.html",52.2355815,20.9954807,0.4,M2 - Rondo ONZ,Śródmieście
Marsylska,"Kawalerka, ul. Marsylska",1.0,2500.0,26.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26666021.html",52.1760338,21.0511171,1.83,M1 - Służew,Mokotów
Flisaków,"Mieszkanie umeblowane, ul. Flisaków",2.0,2800.0,43.61,Białołęka,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26665871.html",52.3625289,21.0431494,7.82,M2 - Bródno,Białołęka
Krochmalna,"Apartament 2-pokojowy, ul. Krochmalna",2.0,5000.0,37.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26666142.html",52.2355906,20.9868433,0.71,M2 - Rondo Daszyńskiego,Wola
Giserska,"Apartament z garażem, ul. Giserska",4.0,5500.0,75.0,Ursus,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26666117.html",52.2017221,20.882874,4.56,M2 - Bemowo,Ursus
Wiktorska,"Mieszkanie 3-pokojowe, ul. Wiktorska",3.0,5500.0,81.66,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,nad-jeziorem/26665676.html",52.199701,21.0151465,0.22,M1 - Racławicka,Mokotów
Środkowa,"Mieszkanie umeblowane, ul. Środkowa",2.0,3000.0,38.0,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/26665730.html",52.2606194,21.040149,0.42,M2 - Szwedzka,Praga-Północ
Pokorna,"Apartament 2-pokojowy, ul. Pokorna",2.0,4000.0,39.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26665767.html",52.2548097,20.993034,0.34,M1 - Dworzec Gdański,Śródmieście
Drogomilska,"Apartament 3-pokojowy, ul. Drogomilska",3.0,3500.0,62.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,przy-lesie/26665682.html",52.2327621,20.9135876,0.63,M2 - Bemowo,Bemowo
Sieczna,"Mieszkanie umeblowane, ul. Sieczna",2.0,2740.0,43.5,Białołęka,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,przy-lesie/26666052.html",52.3145371,21.0677125,3.5,M2 - Kondratowicza,Białołęka
Polna,"Mieszkanie umeblowane, ul. Polna",1.0,2200.0,32.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,z-oddzielna-kuchnia/26665740.html",52.2198448,21.0123358,0.2,M1 - Politechnika,Śródmieście
Giełdowa,"Mieszkanie umeblowane, ul. Giełdowa",2.0,5300.0,50.0,Czyste,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26665418.html",52.2306341,20.9755988,0.59,M2 - Rondo Daszyńskiego,Wola
Biskupia,"Mieszkanie umeblowane, ul. Biskupia",3.0,3600.0,70.0,Praga-Południe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26665594.html",52.2402877,21.121773,5.39,M2 - Stadion Narodowy,Praga-Południe
Starodęby,"Mieszkanie umeblowane, ul. Starodęby",2.0,3200.0,52.0,Ursus,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26666048.html",52.1841021,20.8976206,6.13,M2 - Bemowo,Ursus
Rondo Wiatraczna,"Apartament z garażem, Rondo Wiatraczna",2.0,3000.0,40.0,Praga-Południe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26665878.html",52.2447057,21.0838155,2.75,M2 - Stadion Narodowy,Praga-Południe
Apartament z garażem Warszawa,Apartament z garażem Warszawa,3.0,5500.0,53.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/26665886.html",,,,,Mokotów
Janusza,"Mieszkanie 2-pokojowe, ul. Janusza",2.0,2200.0,37.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26665181.html",52.2391822,20.9443771,0.04,M2 - Księcia Janusza,Wola
Darwina,"Mieszkanie umeblowane, ul. Darwina",1.0,3000.0,30.0,Nowa Praga,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26665532.html",52.2575467,20.9659149,1.63,M1 - Marymont,Praga-Północ
Przaśna,"Apartament 2-pokojowy, ul. Przaśna",2.0,2800.0,41.14,Białołęka,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26665258.html",52.310918,20.9749002,3.74,M1 - Wawrzyszew,Białołęka
Barei,"Mieszkanie 2-pokojowe, ul. Barei",2.0,2200.0,45.2,Białołęka,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26665261.html",52.336323,20.9394827,5.11,M1 - Młociny,Białołęka
Nocznickiego,"Mieszkanie 3-pokojowe, ul. Nocznickiego",3.0,2200.0,49.0,Bielany,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26665184.html",52.2905459,20.9251505,0.28,M1 - Młociny,Bielany
Słowackiego,"Mieszkanie umeblowane, ul. Słowackiego",2.0,4000.0,50.0,Żoliborz,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26665228.html",52.2173448,20.997101,1.23,M1 - Pole Mokotowskie,Żoliborz
Pańska,"Mikrokawalerka, ul. Pańska",1.0,2000.0,23.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26665294.html",52.2332853,21.0018604,0.16,M2 - Rondo ONZ,Śródmieście
Wiktorska,"Mieszkanie umeblowane, ul. Wiktorska",1.0,3500.0,40.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,z-kuchnia-z-oknem/26665673.html",52.199701,21.0151465,0.22,M1 - Racławicka,Mokotów
Joteyki,"Apartament 2-pokojowy, ul. Joteyki",2.0,5000.0,55.0,Ochota,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26665605.html",52.2197389,20.9795161,1.13,M2 - Rondo Daszyńskiego,Ochota
Słomińskiego,"Mieszkanie umeblowane, ul. Słomińskiego",3.0,4200.0,59.0,Muranów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26665417.html",52.2593955,21.0055051,0.7,M1 - Dworzec Gdański,Śródmieście
Gierymskiego,"Apartament 3-pokojowy, ul. Gierymskiego",3.0,3200.0,33.2,Sielce,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26665660.html",52.1985983,21.0360242,1.59,M1 - Wierzbno,Mokotów
Waryńskiego,"Mieszkanie 2-pokojowe, ul. Waryńskiego",2.0,5000.0,65.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/26664886.html",52.2175227,21.0155025,0.17,M1 - Politechnika,Śródmieście
Bernardyńska,"Mieszkanie umeblowane, ul. Bernardyńska",3.0,3850.0,65.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26422244.html",52.193535,21.0622713,3.04,M1 - Wilanowska,Mokotów
Waliców,"Apartament z garażem, ul. Waliców",2.0,4400.0,35.0,Mirów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26664465.html",52.2342516,20.9927584,0.48,M2 - Rondo ONZ,Śródmieście
Wołoska,"Mieszkanie umeblowane, ul. Wołoska",2.0,4200.0,39.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/26664832.html",52.1915142,21.0016292,1.08,M1 - Racławicka,Mokotów
Bukowińska,"Apartament z miejscem parkingowym, ul. Bukowińska",4.0,6500.0,135.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26664546.html",52.1834091,21.0226222,0.33,M1 - Wilanowska,Mokotów
Chełmska,"Mieszkanie 2-pokojowe, ul. Chełmska",2.0,2400.0,48.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26665183.html",52.20219,21.0421902,2.07,M1 - Racławicka,Mokotów
Polna,"Mieszkanie umeblowane, ul. Polna",2.0,3500.0,42.0,Śródmieście Południowe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26664688.html",52.2198448,21.0123358,0.2,M1 - Politechnika,Śródmieście
Grzybowska,"Mieszkanie umeblowane, ul. Grzybowska",2.0,5000.0,44.0,Czyste,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26665419.html",52.2355815,20.9954807,0.4,M2 - Rondo ONZ,Wola
Szwedzka,"Apartament z miejscem parkingowym, ul. Szwedzka",3.0,5250.0,85.42,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26665360.html",52.2634709,21.0455232,0.06,M2 - Szwedzka,Praga-Północ
Górczewska,"Apartament z garażem, ul. Górczewska",3.0,4300.0,52.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-w-zabudowie/26665211.html",52.239625,20.9391041,0.33,M2 - Księcia Janusza,Bemowo
Szwedzka,"Apartament z miejscem parkingowym, ul. Szwedzka",1.0,2520.0,29.92,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/26664758.html",52.2634709,21.0455232,0.06,M2 - Szwedzka,Praga-Północ
Apartament z miejscem parkingowym Warszawa,Apartament z miejscem parkingowym Warszawa,2.0,3100.0,44.09,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26664762.html",,,,,Praga-Północ
Szwedzka,"Apartament z miejscem parkingowym, ul. Szwedzka",2.0,3600.0,48.22,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26664892.html",52.2634709,21.0455232,0.06,M2 - Szwedzka,Praga-Północ
Aleja Rzeczypospolitej,"Apartament z garażem, Aleja Rzeczypospolitej",4.0,8350.0,105.0,Wilanów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26664362.html",52.1586816,21.0744716,2.21,M1 - Imielin,Wilanów
Prosta,"Apartament z garażem, ul. Prosta",2.0,6500.0,45.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26664871.html",52.2295665,20.9791244,0.33,M2 - Rondo Daszyńskiego,Wola
Burakowska,"Mieszkanie umeblowane, ul. Burakowska",2.0,4500.0,39.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26664088.html",52.2567422,20.9773788,1.26,M1 - Dworzec Gdański,Wola
Mokotowska,"Mieszkanie 2-pokojowe, ul. Mokotowska",2.0,5000.0,34.5,Krucza,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26664008.html",52.2210328,21.0187205,0.34,M1 - Politechnika,Śródmieście
Lazurowa,"Mieszkanie umeblowane, ul. Lazurowa",2.0,3200.0,34.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26664592.html",52.222438,20.8963416,2.09,M2 - Bemowo,Bemowo
Grójecka,"Apartament umeblowany, ul. Grójecka",1.0,2650.0,25.0,Ochota,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26664371.html",52.2162091,20.9808506,1.49,M2 - Rondo Daszyńskiego,Ochota
Komorska,"Mieszkanie umeblowane, ul. Komorska",1.0,2900.0,33.0,Praga-Południe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26663964.html",52.2405153,21.1029032,4.11,M2 - Stadion Narodowy,Praga-Południe
Grzybowska,"Mieszkanie umeblowane, ul. Grzybowska",5.0,7000.0,116.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,przy-lesie/26664852.html",52.2355815,20.9954807,0.4,M2 - Rondo ONZ,Śródmieście
Domaniewska,"Apartament umeblowany, ul. Domaniewska",1.0,2050.0,37.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26664089.html",52.183472,21.0129242,0.76,M1 - Wierzbno,Mokotów
Żeromskiego,"Mieszkanie 2-pokojowe, ul. Żeromskiego",2.0,2850.0,47.0,Bielany,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-z-oknem/26663963.html",52.1468038,21.250753,12.74,M1 - Kabaty,Bielany
Chmielna,"Kawalerka umeblowana, ul. Chmielna",1.0,2550.0,28.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/26664503.html",52.2283179,20.9964806,0.56,M2 - Rondo ONZ,Wola
Wiślicka,"Mikrokawalerka, ul. Wiślicka",1.0,2899.0,19.0,Ochota,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26663984.html",52.2035987,20.9775282,2.15,M1 - Pole Mokotowskie,Ochota
Mroczna,"Mieszkanie umeblowane, ul. Mroczna",3.0,4800.0,70.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26664594.html",52.2392124,20.9345595,0.45,M2 - Ulrychów,Wola
Belwederska,"Mieszkanie umeblowane, ul. Belwederska",3.0,4500.0,56.0,Dolny Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26663991.html",52.2092382,21.028873,1.43,M1 - Pole Mokotowskie,Mokotów
Złota,"Mieszkanie umeblowane, ul. Złota",1.0,4800.0,37.09,,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26663762.html",52.2303973,20.9998686,0.29,M2 - Rondo ONZ,
Apartament z garażem Warszawa,Apartament z garażem Warszawa,4.0,15000.0,154.0,Wyględów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-w-zabudowie/26663815.html",,,,,Mokotów
Ludwiki,"Mieszkanie umeblowane, ul. Ludwiki",2.0,4350.0,38.0,Czyste,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26664087.html",52.2301091,20.960766,0.6,M2 - Płocka,Wola
Konstruktorska,"Apartament z garażem, ul. Konstruktorska",2.0,3450.0,41.89,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26664291.html",52.1855348,20.9979811,1.44,M1 - Wierzbno,Mokotów
Matejki,"Mieszkanie umeblowane, ul. Matejki",4.0,9450.0,96.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26664274.html",52.2249179,21.0253843,0.97,M1 - Politechnika,Śródmieście
Bokserska,"Mieszkanie umeblowane, ul. Bokserska",2.0,3600.0,39.26,Służew,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26663627.html",52.1675394,21.0063885,1.39,M1 - Służew,Mokotów
Złota,"Mieszkanie umeblowane, ul. Złota",4.0,9450.0,79.74,,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/26664075.html",52.2303973,20.9998686,0.29,M2 - Rondo ONZ,
Przy Agorze,"Apartament z garażem, ul. Przy Agorze",6.0,9000.0,96.0,Bielany,"https://warszawa.nieruchomosci-online.pl/mieszkanie,przy-lesie/26664244.html",52.2924645,20.9384459,0.66,M1 - Młociny,Bielany
Woronicza,"Apartament 2-pokojowy, ul. Woronicza",2.0,2999.0,35.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26664364.html",52.1880833,20.9886534,2.0,M1 - Racławicka,Mokotów
Jana Kazimierza,"Apartament z garażem, ul. Jana Kazimierza",2.0,3200.0,35.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26663830.html",52.2215151,20.9317555,1.96,M2 - Ulrychów,Wola
Chmielna,"Mieszkanie 3-pokojowe, ul. Chmielna",3.0,4900.0,75.7,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26663820.html",52.2283179,20.9964806,0.56,M2 - Rondo ONZ,Wola
Złota,"Mieszkanie umeblowane, ul. Złota",1.0,4900.0,38.55,,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/26663692.html",52.2303973,20.9998686,0.29,M2 - Rondo ONZ,
Złota,"Mieszkanie umeblowane, ul. Złota",1.0,4500.0,35.94,,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/26663839.html",52.2303973,20.9998686,0.29,M2 - Rondo ONZ,
Urbanistów,"Kawalerka umeblowana, ul. Urbanistów",1.0,2800.0,25.0,Ochota,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,z-kuchnia-w-zabudowie/26663974.html",52.206865,20.9677866,2.75,M2 - Rondo Daszyńskiego,Ochota
Loteryjki,"Mieszkanie umeblowane, ul. Loteryjki",2.0,3000.0,48.0,Bielany,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26663515.html",52.2945851,20.8872787,2.89,M1 - Młociny,Bielany
Zabłocińska,"Mieszkanie umeblowane, ul. Zabłocińska",3.0,5900.0,62.0,Bielany,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26663698.html",52.2787539,20.9636215,0.35,M1 - Słodowiec,Bielany
Dymińska,"Mikrokawalerka umeblowana, ul. Dymińska",1.0,2500.0,24.9,Żoliborz,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26663623.html",52.2608741,20.9971182,0.4,M1 - Dworzec Gdański,Żoliborz
Bogunki,"Mieszkanie umeblowane, ul. Bogunki",1.0,2250.0,35.0,Służew,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26663962.html",52.1714413,21.0009067,1.65,M1 - Służew,Mokotów
Pełczyńskiego,"Mieszkanie umeblowane, ul. Pełczyńskiego",3.0,5500.0,75.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26663972.html",52.2441204,20.9069717,0.74,M2 - Bemowo,Bemowo
Jagiellońska,"Apartament z garażem, ul. Jagiellońska",1.0,2499.0,27.0,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26663965.html",52.2652172,21.0210264,1.52,M2 - Dworzec Wileński,Praga-Północ
Grójecka,"Mieszkanie umeblowane, ul. Grójecka",3.0,2400.0,46.0,Ochota,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26663825.html",52.2162091,20.9808506,1.49,M2 - Rondo Daszyńskiego,Ochota
Grochowska,"Mieszkanie umeblowane, ul. Grochowska",2.0,3100.0,42.0,Praga-Południe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26663437.html",52.2363948,21.1220239,5.49,M2 - Stadion Narodowy,Praga-Południe
Iwanowa-Szajnowicza,"Mieszkanie umeblowane, ul. Iwanowa-Szajnowicza",2.0,3000.0,59.0,Ursynów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,przy-lesie/26663429.html",52.1284246,21.0687385,0.32,M1 - Kabaty,Ursynów
